10:39:11.307 [main] INFO  me.jdbener.Bennerbot - Adding Emoticon: HolyFace~http://static-cdn.jtvnw.net/jtv_user_pictures/chansub-global-emoticon-5109d19ba3e9e601-30x30.png
10:39:11.307 [main] INFO  me.jdbener.Bennerbot - Adding Emoticon: oddoneSillyBilly~http://static-cdn.jtvnw.net/jtv_user_pictures/chansub-global-emoticon-d3f779023272542d-28x30.png
10:39:11.307 [main] INFO  me.jdbener.Bennerbot - Adding Emoticon: SenpaiPls~http://static-cdn.jtvnw.net/jtv_user_pictures/chansub-global-emoticon-91afd72d64639d9d-22x30.png
10:39:11.308 [main] INFO  me.jdbener.Bennerbot - Adding Emoticon: WinWaker~http://static-cdn.jtvnw.net/jtv_user_pictures/chansub-global-emoticon-d4e971f7a6830e95-30x30.png
10:39:11.308 [main] INFO  me.jdbener.Bennerbot - Adding Emoticon: TriHard~http://static-cdn.jtvnw.net/jtv_user_pictures/chansub-global-emoticon-6407e6947eb69e21-24x30.png
10:39:11.308 [main] INFO  me.jdbener.Bennerbot - Adding Emoticon: bajHueHue~http://static-cdn.jtvnw.net/jtv_user_pictures/emoticon-2905-src-f09712acb01568af-28x28.png
10:39:11.308 [main] INFO  me.jdbener.Bennerbot - Adding Emoticon: EagleEye~http://static-cdn.jtvnw.net/jtv_user_pictures/chansub-global-emoticon-95eb8045e7ae63b8-18x27.png
10:39:11.308 [main] INFO  me.jdbener.Bennerbot - Adding Emoticon: CougarHunt~http://static-cdn.jtvnw.net/jtv_user_pictures/chansub-global-emoticon-551cd64fc3d4590a-21x27.png
10:39:11.308 [main] INFO  me.jdbener.Bennerbot - Adding Emoticon: RedCoat~http://static-cdn.jtvnw.net/jtv_user_pictures/chansub-global-emoticon-6b8d1be08f244e92-19x27.png
10:39:11.308 [main] INFO  me.jdbener.Bennerbot - Adding Emoticon: Kappa~http://static-cdn.jtvnw.net/jtv_user_pictures/chansub-global-emoticon-ddc6e3a8732cb50f-25x28.png
10:39:11.308 [main] INFO  me.jdbener.Bennerbot - Adding Emoticon: JonCarnage~http://static-cdn.jtvnw.net/jtv_user_pictures/chansub-global-emoticon-6aaca644ea5374c6-20x27.png
10:39:11.308 [main] INFO  me.jdbener.Bennerbot - Adding Emoticon: PicoMause~http://static-cdn.jtvnw.net/jtv_user_pictures/chansub-global-emoticon-ce027387c35fb601-22x27.png
10:39:11.308 [main] INFO  me.jdbener.Bennerbot - Adding Emoticon: MrDestructoid~http://static-cdn.jtvnw.net/jtv_user_pictures/chansub-global-emoticon-ac61a7aeb52a49d3-39x27.png
10:39:11.308 [main] INFO  me.jdbener.Bennerbot - Adding Emoticon: BCWarrior~http://static-cdn.jtvnw.net/jtv_user_pictures/chansub-global-emoticon-1e3ccd969459f889-29x27.png
10:39:11.308 [main] INFO  me.jdbener.Bennerbot - Adding Emoticon: SuperVinlin~http://static-cdn.jtvnw.net/jtv_user_pictures/chansub-global-emoticon-92a1b848540e9347-23x27.png
10:39:11.308 [main] INFO  me.jdbener.Bennerbot - Adding Emoticon: DansGame~http://static-cdn.jtvnw.net/jtv_user_pictures/chansub-global-emoticon-ce52b18fccf73b29-25x32.png
10:39:11.309 [main] INFO  me.jdbener.Bennerbot - Adding Emoticon: SwiftRage~http://static-cdn.jtvnw.net/jtv_user_pictures/chansub-global-emoticon-680b6b3887ef0d17-21x28.png
10:39:11.309 [main] INFO  me.jdbener.Bennerbot - Adding Emoticon: PJSalt~http://static-cdn.jtvnw.net/jtv_user_pictures/chansub-global-emoticon-18be1a297459453f-36x30.png
10:39:11.309 [main] INFO  me.jdbener.Bennerbot - Adding Emoticon: StrawBeary~http://static-cdn.jtvnw.net/jtv_user_pictures/chansub-global-emoticon-3dac9659e838fab2-20x27.png
10:39:11.309 [main] INFO  me.jdbener.Bennerbot - Adding Emoticon: BlargNaut~http://static-cdn.jtvnw.net/jtv_user_pictures/chansub-global-emoticon-a5293e92212cadd9-21x27.png
10:39:11.309 [main] INFO  me.jdbener.Bennerbot - Adding Emoticon: FreakinStinkin~http://static-cdn.jtvnw.net/jtv_user_pictures/chansub-global-emoticon-d14278fea8fad146-19x27.png
10:39:11.309 [main] INFO  me.jdbener.Bennerbot - Adding Emoticon: KevinTurtle~http://static-cdn.jtvnw.net/jtv_user_pictures/chansub-global-emoticon-d530ef454aa17093-21x27.png
10:39:11.309 [main] INFO  me.jdbener.Bennerbot - Adding Emoticon: Kreygasm~http://static-cdn.jtvnw.net/jtv_user_pictures/chansub-global-emoticon-3a624954918104fe-19x27.png
10:39:11.309 [main] INFO  me.jdbener.Bennerbot - Adding Emoticon: FPSMarksman~http://static-cdn.jtvnw.net/jtv_user_pictures/chansub-global-emoticon-6c26a3f04616c4bf-20x27.png
10:39:11.309 [main] INFO  me.jdbener.Bennerbot - Adding Emoticon: NoNoSpot~http://static-cdn.jtvnw.net/jtv_user_pictures/chansub-global-emoticon-179f310b0746584d-23x27.png
10:39:11.309 [main] INFO  me.jdbener.Bennerbot - Adding Emoticon: NinjaTroll~http://static-cdn.jtvnw.net/jtv_user_pictures/chansub-global-emoticon-89e474822a976928-19x27.png
10:39:11.309 [main] INFO  me.jdbener.Bennerbot - Adding Emoticon: SSSsss~http://static-cdn.jtvnw.net/jtv_user_pictures/chansub-global-emoticon-5d019b356bd38360-24x24.png
10:39:11.309 [main] INFO  me.jdbener.Bennerbot - Adding Emoticon: PunchTrees~http://static-cdn.jtvnw.net/jtv_user_pictures/chansub-global-emoticon-b85003ffba04e03e-24x24.png
